rating_id,rating_giver_id,rating_receiver_id,comments,grades
rat-3222679,mem-3455901,mem-8540471,,4
rat-7371655,mem-3580873,mem-9767683,would recommend,4
rat-3877698,mem-7921758,mem-6250900,,5
rat-1540994,mem-9767683,mem-2525276,,4
rat-9227352,mem-3725927,mem-9042938,,3
rat-5532644,mem-9254258,mem-4672564,,5
rat-1282222,mem-7921758,mem-1451150,,5
rat-4977131,mem-7318914,mem-3967691,cool!,3
rat-4978325,mem-7382076,mem-8961756,nice car,3
rat-4221659,mem-1703083,mem-6510063,,5
rat-1771386,mem-6704528,mem-8954067,,5
rat-4523830,mem-5911536,mem-2964127,,3
rat-8914122,mem-9254258,mem-1525114,cool!,5
rat-3336653,mem-5089917,mem-9714080,nice car,5
rat-1514700,mem-6510063,mem-3307468,cool!,4
rat-7070133,mem-8902951,mem-8460693,"slightly dirty, but fine",3
rat-8849507,mem-7251531,mem-9238906,,5
rat-5170780,mem-8618305,mem-9428037,would recommend,2
rat-9059793,mem-7424153,mem-8618305,cool!,3
rat-9418915,mem-8045504,mem-5674753,,3
rat-7712936,mem-6707135,mem-6261940,,3
rat-9391413,mem-7733883,mem-3764964,"slightly dirty, but fine",5
rat-2442054,mem-9042938,mem-4672564,cool!,4
rat-1672482,mem-6123422,mem-3725927,nice car,4
rat-2478968,mem-9238906,mem-1243151,,5
rat-9306204,mem-9916130,mem-1703083,,5
rat-8473237,mem-4267474,mem-7442928,,5
rat-4247178,mem-8185304,mem-9428037,,5
rat-1910162,mem-3470182,mem-1451150,,3
rat-2634945,mem-6261940,mem-5055691,cool!,4
rat-5875401,mem-4003334,mem-8747358,,5
rat-2133022,mem-7442928,mem-8550994,,4
rat-1490034,mem-2559009,mem-7295951,,1
rat-1636545,mem-5089917,mem-4796329,"slightly dirty, but fine",3
rat-2714497,mem-8540471,mem-8961756,,3
rat-2781645,mem-7287474,mem-9185626,,4
rat-3286296,mem-9303023,mem-8181614,,3
rat-8044827,mem-2509055,mem-8649963,cool!,5
rat-7733858,mem-4948829,mem-1570790,,4
rat-9013666,mem-7781385,mem-1101746,cool!,4
rat-2558014,mem-3967691,mem-8550994,cool!,4
rat-2261406,mem-7382076,mem-7565092,,1
rat-5049142,mem-8252770,mem-3267423,,4
rat-2994263,mem-3716538,mem-3725927,,4
rat-7724803,mem-9303023,mem-2509055,,1
rat-6288133,mem-8802778,mem-9916130,,5
rat-6938330,mem-6261940,mem-5954620,,5
rat-2408278,mem-3565334,mem-9916130,would NOT recommend,4
rat-8111747,mem-2331394,mem-3470182,,4
rat-3413362,mem-3122499,mem-3455901,,1
rat-1184662,mem-6250900,mem-2257987,nice car,5
rat-9027560,mem-5670820,mem-6486914,,5
rat-6664714,mem-1243151,mem-9238906,nice car,4
rat-4690722,mem-7758431,mem-5961838,,5
rat-9543248,mem-7382076,mem-7733883,,5
rat-2354925,mem-7424153,mem-8185304,would NOT recommend,4
rat-3230486,mem-3470182,mem-3267423,"slightly dirty, but fine",4
rat-5651689,mem-5605301,mem-6546690,would NOT recommend,5
rat-2709910,mem-2027330,mem-1541797,cool!,1
rat-8907905,mem-7257451,mem-6250900,would NOT recommend,3
rat-9324932,mem-4948829,mem-3967691,would NOT recommend,5
rat-9205115,mem-7565092,mem-4097319,,5
rat-6814245,mem-7318914,mem-1906036,,4
rat-1090186,mem-1612906,mem-4003334,,3
rat-1646205,mem-8747358,mem-9303023,,5
rat-7951820,mem-5670820,mem-1167206,,5
rat-4624068,mem-7287474,mem-1201687,would recommend,4
rat-3665843,mem-8954067,mem-2221918,would recommend,5
rat-2459159,mem-2758152,mem-8802778,,5
rat-8123736,mem-1860416,mem-1688422,would NOT recommend,5
rat-8526077,mem-6261940,mem-7318914,cool!,3
rat-5964995,mem-1988561,mem-8181614,"slightly dirty, but fine",3
rat-8368732,mem-1906036,mem-4672564,,4
rat-4065169,mem-2964127,mem-8614720,,4
rat-7016595,mem-2426507,mem-1906036,would NOT recommend,5
rat-2243649,mem-8961756,mem-8618305,would NOT recommend,4
rat-3471426,mem-4764322,mem-3470182,,3
rat-7626244,mem-7257451,mem-1599896,would NOT recommend,5
rat-4215613,mem-9715334,mem-8045504,,5
rat-6229653,mem-7170618,mem-6546690,would NOT recommend,5
rat-6157642,mem-1599896,mem-3725927,cool!,5
rat-3736155,mem-1541797,mem-2677806,,4
rat-5620475,mem-3980469,mem-7382076,,5
rat-5930753,mem-3470182,mem-5654890,,5
rat-9395085,mem-7170618,mem-1167206,would recommend,5
rat-9238955,mem-6510063,mem-6437439,"slightly dirty, but fine",5
rat-1087697,mem-9714080,mem-5670820,,4
rat-4524226,mem-3580873,mem-4267474,,5
rat-1157223,mem-1988561,mem-2758152,would NOT recommend,2
rat-4373298,mem-3267423,mem-1703083,nice car,4
rat-9140368,mem-1703083,mem-3798002,,5
rat-6472482,mem-3980469,mem-8961756,,5
rat-7451777,mem-8614720,mem-1541797,,4
rat-4615269,mem-9042938,mem-9916130,,5
rat-5262054,mem-4599833,mem-1003508,would NOT recommend,5
rat-4169528,mem-5284809,mem-5830958,,5
rat-1393596,mem-1003508,mem-5954620,would recommend,5
rat-1131065,mem-8747358,mem-3798002,would recommend,5
rat-3403707,mem-9629145,mem-2027330,"slightly dirty, but fine",4
